IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.205.188,2083,true,SIN,Asia Pacific,Singapore,240 ms,5641 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,237 ms,5640 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,226 ms,5631 kB/s
8.219.103.65,8443,true,SIN,Asia Pacific,Singapore,223 ms,5581 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,241 ms,5576 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,258 ms,5538 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,245 ms,5521 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,216 ms,5519 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,237 ms,5484 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,230 ms,5480 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,217 ms,5456 kB/s
47.237.95.140,2083,true,SIN,Asia Pacific,Singapore,221 ms,5429 kB/s
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,228 ms,5384 kB/s
47.237.95.146,2087,true,SIN,Asia Pacific,Singapore,222 ms,5383 kB/s
47.237.94.140,2053,true,SIN,Asia Pacific,Singapore,241 ms,5380 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,219 ms,5378 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,235 ms,5314 kB/s
47.236.87.246,8443,true,SIN,Asia Pacific,Singapore,222 ms,5291 kB/s
47.236.144.156,2087,true,SIN,Asia Pacific,Singapore,238 ms,5285 kB/s
47.236.9.152,2053,true,SIN,Asia Pacific,Singapore,240 ms,5284 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,257 ms,5253 kB/s
8.219.103.65,2096,true,SIN,Asia Pacific,Singapore,224 ms,5237 kB/s
47.237.95.140,2096,true,SIN,Asia Pacific,Singapore,247 ms,5193 kB/s
47.237.0.31,2096,true,SIN,Asia Pacific,Singapore,221 ms,5186 kB/s
47.237.95.146,2083,true,SIN,Asia Pacific,Singapore,224 ms,5167 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,223 ms,5145 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,228 ms,5115 kB/s
47.237.86.185,2083,true,SIN,Asia Pacific,Singapore,228 ms,5063 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,225 ms,5058 kB/s
47.237.11.182,8443,true,SIN,Asia Pacific,Singapore,237 ms,5051 kB/s
47.237.0.31,8443,true,SIN,Asia Pacific,Singapore,248 ms,5041 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,229 ms,5033 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,229 ms,5016 kB/s
8.219.50.180,2087,true,SIN,Asia Pacific,Singapore,225 ms,5008 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,218 ms,4996 kB/s
47.236.121.23,8443,true,SIN,Asia Pacific,Singapore,236 ms,4978 kB/s
8.219.0.162,443,true,SIN,Asia Pacific,Singapore,223 ms,4973 kB/s
47.236.75.113,2053,true,SIN,Asia Pacific,Singapore,224 ms,4969 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,230 ms,4962 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,226 ms,4958 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,242 ms,4948 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,224 ms,4944 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,227 ms,4942 kB/s
47.237.95.156,2083,true,SIN,Asia Pacific,Singapore,234 ms,4940 kB/s
8.219.0.162,2053,true,SIN,Asia Pacific,Singapore,227 ms,4937 kB/s
47.236.169.15,2053,true,SIN,Asia Pacific,Singapore,223 ms,4930 kB/s
47.236.158.158,8443,true,SIN,Asia Pacific,Singapore,233 ms,4901 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,241 ms,4891 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,225 ms,4882 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,233 ms,4879 kB/s
47.237.100.206,2087,true,SIN,Asia Pacific,Singapore,248 ms,4873 kB/s
8.219.0.162,8443,true,SIN,Asia Pacific,Singapore,241 ms,4872 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,226 ms,4871 kB/s
47.237.100.206,2053,true,SIN,Asia Pacific,Singapore,239 ms,4829 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,213 ms,4828 kB/s
47.236.17.193,2053,true,SIN,Asia Pacific,Singapore,228 ms,4815 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,262 ms,4801 kB/s
47.236.5.223,2083,true,SIN,Asia Pacific,Singapore,240 ms,4800 kB/s
47.237.86.185,8443,true,SIN,Asia Pacific,Singapore,228 ms,4790 kB/s
47.237.100.206,2083,true,SIN,Asia Pacific,Singapore,223 ms,4785 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,252 ms,4754 kB/s
8.219.103.65,2083,true,SIN,Asia Pacific,Singapore,235 ms,4738 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,255 ms,4731 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,241 ms,4725 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,225 ms,4713 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,235 ms,4682 kB/s
47.237.83.20,2083,true,SIN,Asia Pacific,Singapore,226 ms,4677 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,225 ms,4667 kB/s
47.236.9.152,8443,true,SIN,Asia Pacific,Singapore,233 ms,4665 kB/s
47.237.94.140,8443,true,SIN,Asia Pacific,Singapore,223 ms,4658 kB/s
47.236.169.164,8443,true,SIN,Asia Pacific,Singapore,245 ms,4641 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,241 ms,4633 kB/s
47.236.9.152,2087,true,SIN,Asia Pacific,Singapore,226 ms,4631 kB/s
47.236.167.231,2096,true,SIN,Asia Pacific,Singapore,228 ms,4622 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,223 ms,4621 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,226 ms,4617 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,225 ms,4614 kB/s
47.236.144.196,2083,true,SIN,Asia Pacific,Singapore,224 ms,4612 kB/s
47.237.95.140,2053,true,SIN,Asia Pacific,Singapore,229 ms,4572 kB/s
47.76.204.76,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,4568 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,232 ms,4549 kB/s
8.211.13.228,443,true,FRA,Europe,Frankfurt,271 ms,4527 kB/s
47.76.204.76,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,4491 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,225 ms,4488 kB/s
47.237.82.15,2053,true,SIN,Asia Pacific,Singapore,244 ms,4480 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,234 ms,4472 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,254 ms,4472 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,252 ms,4461 kB/s
47.237.95.13,8443,true,SIN,Asia Pacific,Singapore,217 ms,4452 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,228 ms,4441 kB/s
8.219.50.180,2096,true,SIN,Asia Pacific,Singapore,223 ms,4435 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,235 ms,4435 kB/s
47.236.172.95,2053,true,SIN,Asia Pacific,Singapore,228 ms,4434 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,245 ms,4418 kB/s
47.237.82.15,2083,true,SIN,Asia Pacific,Singapore,245 ms,4413 kB/s
47.236.118.216,8443,true,SIN,Asia Pacific,Singapore,236 ms,4405 kB/s
47.236.17.193,2096,true,SIN,Asia Pacific,Singapore,236 ms,4399 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,225 ms,4398 kB/s
47.237.95.13,2053,true,SIN,Asia Pacific,Singapore,221 ms,4392 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,226 ms,4355 kB/s
47.237.95.13,2096,true,SIN,Asia Pacific,Singapore,224 ms,4314 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,223 ms,4297 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,243 ms,4292 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,233 ms,4289 kB/s
47.237.10.1,2053,true,SIN,Asia Pacific,Singapore,228 ms,4288 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,230 ms,4272 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,236 ms,4255 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,220 ms,4246 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,228 ms,4242 kB/s
47.236.121.23,2053,true,SIN,Asia Pacific,Singapore,253 ms,4239 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,259 ms,4220 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,238 ms,4219 kB/s
47.243.42.219,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,4209 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,244 ms,4206 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,228 ms,4204 kB/s
47.236.169.164,2087,true,SIN,Asia Pacific,Singapore,228 ms,4185 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,229 ms,4133 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,235 ms,4129 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,240 ms,4127 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,237 ms,4126 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,237 ms,4114 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,229 ms,4107 kB/s
47.237.11.182,2083,true,SIN,Asia Pacific,Singapore,230 ms,4104 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,227 ms,4091 kB/s
47.236.174.206,8443,true,SIN,Asia Pacific,Singapore,231 ms,4085 kB/s
47.236.10.182,8443,true,SIN,Asia Pacific,Singapore,236 ms,4084 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,236 ms,4058 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,230 ms,4057 kB/s
47.237.81.112,2087,true,SIN,Asia Pacific,Singapore,233 ms,4052 kB/s
47.243.42.219,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,4046 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,226 ms,4020 kB/s
8.219.0.162,2096,true,SIN,Asia Pacific,Singapore,225 ms,4012 kB/s
8.219.103.65,2087,true,SIN,Asia Pacific,Singapore,223 ms,3980 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,238 ms,3958 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,229 ms,3911 kB/s
47.237.0.31,2083,true,SIN,Asia Pacific,Singapore,227 ms,3909 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,227 ms,3905 kB/s
8.219.0.162,2087,true,SIN,Asia Pacific,Singapore,234 ms,3871 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,224 ms,3799 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,240 ms,3796 kB/s
47.236.149.107,2053,true,SIN,Asia Pacific,Singapore,223 ms,3757 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,226 ms,3746 kB/s
47.237.86.185,2053,true,SIN,Asia Pacific,Singapore,245 ms,3735 kB/s
47.236.10.100,2096,true,SIN,Asia Pacific,Singapore,220 ms,3673 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,226 ms,3628 kB/s
8.219.240.160,8443,true,SIN,Asia Pacific,Singapore,229 ms,3621 kB/s
8.209.100.184,443,true,FRA,Europe,Frankfurt,268 ms,3621 kB/s
47.236.123.133,2087,true,SIN,Asia Pacific,Singapore,232 ms,3612 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,234 ms,3597 kB/s
47.237.92.26,2083,true,SIN,Asia Pacific,Singapore,220 ms,3592 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,3570 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,247 ms,3567 kB/s
47.237.94.140,2096,true,SIN,Asia Pacific,Singapore,239 ms,3546 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,225 ms,3529 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,240 ms,3528 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,228 ms,3525 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,231 ms,3476 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,240 ms,3465 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,222 ms,3444 kB/s
47.236.174.206,2096,true,SIN,Asia Pacific,Singapore,244 ms,3442 kB/s
47.237.95.146,8443,true,SIN,Asia Pacific,Singapore,226 ms,3372 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,230 ms,3362 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,229 ms,3350 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,246 ms,3338 kB/s
47.237.11.182,2087,true,SIN,Asia Pacific,Singapore,231 ms,3319 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,289 ms,3304 kB/s
47.236.150.13,2053,true,SIN,Asia Pacific,Singapore,223 ms,3264 kB/s
47.237.10.1,2083,true,SIN,Asia Pacific,Singapore,241 ms,3219 kB/s
47.236.10.100,8443,true,SIN,Asia Pacific,Singapore,231 ms,3217 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,217 ms,3158 kB/s
8.219.240.160,2053,true,SIN,Asia Pacific,Singapore,232 ms,3138 kB/s
47.237.95.156,2087,true,SIN,Asia Pacific,Singapore,242 ms,3065 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,224 ms,2982 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,308 ms,2911 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,227 ms,2904 kB/s
8.217.90.154,443,true,HKG,Asia Pacific,Hong Kong,54 ms,2901 kB/s
8.219.109.183,443,true,SIN,Asia Pacific,Singapore,229 ms,2837 kB/s
8.219.240.160,2083,true,SIN,Asia Pacific,Singapore,231 ms,2832 kB/s
47.237.14.220,2083,true,SIN,Asia Pacific,Singapore,224 ms,2822 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,237 ms,2806 kB/s
47.237.95.156,8443,true,SIN,Asia Pacific,Singapore,235 ms,2745 kB/s
47.237.10.1,2087,true,SIN,Asia Pacific,Singapore,246 ms,2696 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,252 ms,2655 kB/s
47.237.10.1,8443,true,SIN,Asia Pacific,Singapore,225 ms,2626 kB/s
8.219.240.160,443,true,SIN,Asia Pacific,Singapore,250 ms,2614 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,239 ms,2609 kB/s
47.236.168.17,8443,true,SIN,Asia Pacific,Singapore,226 ms,2591 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,299 ms,2549 kB/s
47.237.92.26,2096,true,SIN,Asia Pacific,Singapore,233 ms,2526 kB/s
8.219.240.160,2096,true,SIN,Asia Pacific,Singapore,227 ms,2364 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,244 ms,2309 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,235 ms,2169 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,239 ms,2162 kB/s
47.236.113.184,443,true,SIN,Asia Pacific,Singapore,240 ms,2150 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,239 ms,1897 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,222 ms,1885 kB/s
8.211.13.91,443,true,FRA,Europe,Frankfurt,270 ms,1407 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,306 ms,1311 kB/s
47.245.105.224,2083,true,SIN,Asia Pacific,Singapore,236 ms,1257 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,252 ms,1071 kB/s
8.211.12.62,443,true,FRA,Europe,Frankfurt,272 ms,1033 kB/s
8.219.240.160,2087,true,SIN,Asia Pacific,Singapore,230 ms,924 kB/s
8.209.108.205,443,true,FRA,Europe,Frankfurt,274 ms,782 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,61 ms,684 kB/s
8.222.225.193,443,true,SIN,Asia Pacific,Singapore,251 ms,630 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,227 ms,569 kB/s
47.236.118.216,2083,true,SIN,Asia Pacific,Singapore,236 ms,393 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,55 ms,387 kB/s
47.76.178.146,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,361 kB/s
47.76.204.76,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,323 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,243 ms,259 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,78 ms,105 kB/s
8.210.92.27,443,true,HKG,Asia Pacific,Hong Kong,58 ms,8 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,227 ms,0 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,242 ms,0 kB/s
47.236.17.193,2083,true,SIN,Asia Pacific,Singapore,238 ms,0 kB/s
47.236.168.17,2087,true,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.236.168.17,2096,true,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,0 kB/s
47.237.100.206,8443,true,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.237.14.220,2053,true,SIN,Asia Pacific,Singapore,259 ms,0 kB/s
47.236.205.188,2087,true,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.236.205.188,2096,true,SIN,Asia Pacific,Singapore,216 ms,0 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,0 kB/s
47.76.178.146,443,true,HKG,Asia Pacific,Hong Kong,53 ms,0 kB/s
47.236.121.23,2096,true,SIN,Asia Pacific,Singapore,219 ms,0 kB/s
47.237.92.26,8443,true,SIN,Asia Pacific,Singapore,243 ms,0 kB/s
8.219.50.180,2053,true,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,220 ms,0 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
47.237.81.112,2083,true,SIN,Asia Pacific,Singapore,237 ms,0 kB/s
47.243.42.219,2087,true,HKG,Asia Pacific,Hong Kong,56 ms,0 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,224 ms,0 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,236 ms,0 kB/s
47.237.83.20,8443,true,SIN,Asia Pacific,Singapore,239 ms,0 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,0 kB/s
